TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
TORREMUELLE_1930_2000,54512,TORREMUELLE,MÁLAGA,19:30 - 20:00,6,14
TORREMUELLE_2000_2030,54512,TORREMUELLE,MÁLAGA,20:00 - 20:30,15,35
TORREMUELLE_2030_2100,54512,TORREMUELLE,MÁLAGA,20:30 - 21:00,1,13
TORREMUELLE_2100_2130,54512,TORREMUELLE,MÁLAGA,21:00 - 21:30,7,29
TORREMUELLE_2130_2200,54512,TORREMUELLE,MÁLAGA,21:30 - 22:00,5,7
TORREMUELLE_2200_2230,54512,TORREMUELLE,MÁLAGA,22:00 - 22:30,2,14
TORREMUELLE_2230_2300,54512,TORREMUELLE,MÁLAGA,22:30 - 23:00,0,8
TORREMUELLE_2300_2330,54512,TORREMUELLE,MÁLAGA,23:00 - 23:30,6,6
TORREMUELLE_2330_0000,54512,TORREMUELLE,MÁLAGA,23:30 - 00:00,0,6
CARVAJAL_0000_0030,54513,CARVAJAL,MÁLAGA,00:00 - 00:30,0,1
CARVAJAL_0530_0600,54513,CARVAJAL,MÁLAGA,05:30 - 06:00,0,0
CARVAJAL_0600_0630,54513,CARVAJAL,MÁLAGA,06:00 - 06:30,4,0
CARVAJAL_0630_0700,54513,CARVAJAL,MÁLAGA,06:30 - 07:00,5,0
CARVAJAL_0700_0730,54513,CARVAJAL,MÁLAGA,07:00 - 07:30,9,6
CARVAJAL_0730_0800,54513,CARVAJAL,MÁLAGA,07:30 - 08:00,18,4
CARVAJAL_0800_0830,54513,CARVAJAL,MÁLAGA,08:00 - 08:30,18,4
CARVAJAL_0830_0900,54513,CARVAJAL,MÁLAGA,08:30 - 09:00,13,1
CARVAJAL_0900_0930,54513,CARVAJAL,MÁLAGA,09:00 - 09:30,16,5
CARVAJAL_0930_1000,54513,CARVAJAL,MÁLAGA,09:30 - 10:00,13,4
CARVAJAL_1000_1030,54513,CARVAJAL,MÁLAGA,10:00 - 10:30,31,5
CARVAJAL_1030_1100,54513,CARVAJAL,MÁLAGA,10:30 - 11:00,8,5
CARVAJAL_1100_1130,54513,CARVAJAL,MÁLAGA,11:00 - 11:30,34,9
CARVAJAL_1130_1200,54513,CARVAJAL,MÁLAGA,11:30 - 12:00,5,5
CARVAJAL_1200_1230,54513,CARVAJAL,MÁLAGA,12:00 - 12:30,15,13
